rule_id,layer,priority,rule_type,scope_realm,scope_path,conditions,action,action_params,confidence_required,enabled,notes_human
ROT.010,0,15,require_folder,*,QiOS/,"{""targets"":[""apps"",""workers"",""components"",""workflows"",""data"",""realms"",""rules"",""security"",""connections"",""sites"",""docs"",""darkmatter"",""templates"",""projects""]}",create,"{}",1,true,"All required QiOS roots must exist."
ROT.020,0,25,allow_pattern,*,QiOS/,"{""allowlist_ref"":""folder_registry.root_allowlist""}",ignore,"{}",1,true,"Only canonical roots allowed."
DM.010,1,10,protect_path,DarkMatter,QiOS/darkmatter/**,"{}",ignore,"{}",1,true,"DarkMatter paths cannot be moved or deleted by non-DM rules."
DM.020,1,15,protect_path,*,QiOS/.git/**,"{}",ignore,"{}",1,true,"Git repository metadata is protected system infrastructure."
DM.030,1,15,protect_path,*,QiOS/.obsidian/**,"{}",ignore,"{}",1,true,"Obsidian vault configuration is protected system infrastructure."
DM.040,1,20,protect_file,*,QiOS/.gitignore,"{}",ignore,"{}",1,true,"Git ignore file is protected system infrastructure."
DM.050,1,20,protect_file,*,QiOS/.env,"{}",ignore,"{}",1,true,"Environment file is protected (contains secrets, never committed)."
DM.060,1,20,protect_file,*,QiOS/env.example,"{}",ignore,"{}",1,true,"Environment template is protected system infrastructure."
DM.070,1,20,protect_file,*,QiOS/.cursorrules,"{}",ignore,"{}",1,true,"Cursor rules file is protected system infrastructure."
DM.080,1,25,protect_pattern,*,QiOS/**,"{""pattern"":""**/*.canvas""}",ignore,"{}",1,true,"Canvas files are protected visual planning infrastructure."
DM.090,1,25,protect_pattern,*,QiOS/**,"{""pattern"":""**/*kanban*.md""}",ignore,"{}",1,true,"Kanban board files are protected visual planning infrastructure."
RLM.010,2,10,require_subtree,QiRealms,QiOS/realms/**,"{""subtree_ref"":""folder_registry.realm_required_subtrees.common""}",create,"{}",1,true,"All realms get the common subtree."
RLM.020,2,20,require_subtree,QiBusiness,QiOS/realms/qibusiness/**,"{""subtree_ref"":""folder_registry.realm_required_subtrees.qibusiness""}",create,"{}",1,true,"QiBusiness realm gets business-specific subtree."
RLM.030,2,30,require_subtree,QiClients,QiOS/realms/qiclients/_template/**,"{""subtree_ref"":""folder_registry.realm_required_subtrees.qiclients_template""}",create,"{}",1,true,"Client template must mirror OS subset."
RLM.040,2,40,mirror_template,QiClients,QiOS/realms/qiclients/*/,"{""template_path"":""QiOS/realms/qiclients/_template"",""omit_if_empty"":true}",suggest,"{}",1,true,"Client realms should mirror template; missing folders suggested/created when enabled."
RLM.050,2,50,realm_activation_gate,*,QiOS/realms/**,"{""registry_ref"":""realms_registry.realms"",""must_be_enabled"":true}",quarantine,"{""target"":""QiOS/realms/archives/disabled_realms""}",1,true,"Disabled realms are not routing targets."
DOC.010,2,55,require_file,QiOS,QiOS/*/,"{""targets"":[""_readme.md""]}",create,"{}",1,true,"Every canonical root folder must contain _readme.md."
DOC.020,2,60,require_file,QiRealms,QiOS/realms/*/,"{""targets"":[""_readme.md""]}",create,"{}",1,true,"Every realm root must contain _readme.md."
MTA.001,5,10,frontmatter_require,*,QiOS/realms/**,"{""required_ref"":""front_matter_schema_v1""}",inject_frontmatter,"{}",1,true,"Canonical front matter required."
MTA.010,5,20,qid_auto_populate,*,QiOS/**,"{""qid_null"":true}",call_rpc,"{""rpc_name"":""qios_next_qid"",""target_field"":""qid""}",1,true,"If qid is null, call qios_next_qid() RPC (wrapper for claim_qid()) to generate QID. QID becomes required for canonical nodes after Layer 5."
HEL.010,7,10,visibility_mask,*,QiOS/**,"{""matrix_ref"":""sensitivity_classification_matrix_v1""}",apply_visibility,"{""mask_by_sensitivity"":true,""mask_by_classification"":true}",1,true,"Visibility mask based on sensitivity/classification. UI reads this to hide stuff in client portals."
OBS.010,1,30,require_table,QiOS,Supabase,"{""targets"":[""worker_status"",""system_event""]}",alert,"{}",1,true,"Worker health tables must exist. Infrastructure check (Layer 1: Dark Matter)."
OBS.020,1,35,health_worker,QiOS,"*","{}",alert,"{}",1,true,"GINA Orchestrator must respond to health checks. Infrastructure check (Layer 1: Dark Matter)."
SEM.010,6,10,queue_required,QiOS,"ingestion_queue","{}",alert,"{}",1,true,"Semantic ingestion queue must exist and be processing."
SEM.030,6,30,route_confidence_cap,*,QiOS/**,"{""sensitivity"":""internal"",""classification"":""system_darkmatter""}",force_route,"{""confidence_cap"":0.10,""destination"":""darkmatter/"",""no_semantic_mirror"":true}",1,true,"If sensitivity=internal AND classification=system_darkmatter, route confidence hard-cap to 0.10, destination forced to darkmatter/, no semantic mirroring to clients."
HEL.040,7,40,dedupe_restriction,*,QiOS/**,"{""classification_in"":[""legal_hold"",""personal_health""]}",restrict_dedupe,"{""allow_byte_identical"":true,""forbid_semantic_merge"":true,""require_human_approval"":true}",1,true,"If classification in (legal_hold, personal_health), dedupe only byte-identical, semantic merges forbidden without human approval."
