ID,Name,Description,Owner,Status
0,Inbox,Temporary workspace for uncategorized input,CRV,active
1,QiEOS,Governance Realm (Constitution + Law),CRV,active
1.10,Protocol,QiEOS governance & update process,QiEOS,active
1.20,QiCode,Life Code (Statutes of System & Self),QiEOS,active
1.20.00,QiCode Index,Master index of all Titles and Principles,QiCode,active
1.21,Title I — Foundations,Core principles & structure,QiCode,active
1.21.00,Title I Index,Index of Title I Principles,QiCode,active
1.21.1,§1 Principle of Awareness,Law of observation & reflection,QiCode,active
1.21.2,§2 Principle of Presence,Law of now & embodiment,QiCode,active
1.22,Title II — Self & Inner Work,Awareness habits emotional systems,QiCode,active
1.22.00,Title II Index,Index of Title II Principles,QiCode,active
1.23,Title III — Work & Creation,Productivity flow and manifestation,QiCode,active
1.23.00,Title III Index,Index of Title III Principles,QiCode,active
1.24,Title IV — Relations & Exchange,Boundaries reciprocity and connection,QiCode,active
1.24.00,Title IV Index,Index of Title IV Principles,QiCode,active
1.25,Title V — Action & Automation,Execution energy management movement,QiCode,active
1.25.00,Title V Index,Index of Title V Principles,QiCode,active
1.26,Title VI — Identity & Integrity,Authenticity naming and alignment,QiCode,active
1.26.00,Title VI Index,Index of Title VI Principles,QiCode,active
1.27,Title VII — Mind & Will,Decision-making thought hygiene,QiCode,active
1.27.00,Title VII Index,Index of Title VII Principles,QiCode,active
1.28,Title VIII — Cycles & Closure,Endings transitions forgiveness,QiCode,active
1.28.00,Title VIII Index,Index of Title VIII Principles,QiCode,active
1.29,Title IX — Ethics & Evolution,Moral systems feedback growth,QiCode,active
1.29.00,Title IX Index,Index of Title IX Principles,QiCode,active
1.30,Title X — Legacy & Design,Purpose continuity vision,QiCode,active
1.30.00,Title X Index,Index of Title X Principles,QiCode,active
1.30_Templates,Templates,Master templates (App/KB/Client),QiEOS,active
1.40,RAG,AI bots embeddings and automation layer,QiEOS,active
1.50,Meta,Indexes QiCodex and registry data,QiEOS,active
1.90,ARCH,Archive of retired QiEOS components,QiEOS,active
2,QiSelf KB,Personal Knowledge Base,CRV,active
2.10,START,Overview system map,CRV,active
2.20,ABOUT,Story identity,CRV,active
2.30,LIFE,Habits goals and reflections,CRV,active
2.40,OPS,Personal workflows and routines,CRV,active
2.50,DOCS,Personal writings letters thoughts,CRV,active
2.60,MEDIA,Visuals recordings transcripts,CRV,active
2.70,TECH,Automations scripts prompts,CRV,active
2.90,ARCH,Archived personal data,CRV,active
3,QiAlly KB,Business Knowledge Base,QiAlly,active
3.10,START,Mission purpose branding,QiAlly,active
3.20,ABOUT,Structure team org identity,QiAlly,active
3.30,OFFER,Services pricing strategy,QiAlly,active
3.40,OPS,SOPs process docs,QiAlly,active
3.50,DOCS,Contracts reports deliverables,QiAlly,active
3.60,MEDIA,Design marketing assets,QiAlly,active
3.70,TECH,APIs automations integrations,QiAlly,active
3.90,ARCH,Archived business content,QiAlly,active
4,Clients,Client Ecosystems,QiAlly,active
4.10,<slug>,Individual client container,QiAlly,active
4.11,EOS,Agreements & scope,QiAlly,active
4.12,KB,Client-specific knowledge base,QiAlly,active
4.13,SITE,Client site or PWA,QiAlly,active
4.90,ARCH,Archived client data,QiAlly,active
5,Apps,Application Layer,QiSuite,active
5.10,dev,Development environment,QiSuite,active
5.20,staging,Testing environment,QiSuite,active
5.30,live,Production environment,QiSuite,active
5.90,ARCH,Archived deployments,QiSuite,active
6,Data,Datasets & Indexes,QiSuite,active
6.10,qi_index,Core knowledge index,QiSuite,active
6.20,vector,Embeddings & RAG data,QiSuite,active
6.30,datasets,External datasets,QiSuite,active
6.90,ARCH,Archived data,QiSuite,active
7,Tools,Scripts & Utilities,QiSuite,active
7.10,python,Python utilities,QiSuite,active
7.20,node,Node.js utilities,QiSuite,active
7.30,shell,Shell scripts,QiSuite,active
7.90,ARCH,Archived tools,QiSuite,active
8,Docs,Manuals & Publications,QiAlly,active
8.10,Manuals,Guides handbooks,QiAlly,active
8.20,Brand,Logos templates style,QiAlly,active
8.30,Publications,External reports,QiAlly,active
8.90,ARCH,Archived documents,QiAlly,active
9,ARCH,Global Archive,QiOne,active

